kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
通,1511,traffic,pogo stick; chop-seal; hanko; utilise; utilize; road,ツウ; ツ,とお.る; とお.り; -とお.り; -どお.り; とお.す; とお.し; -どお.し; かよ.う,10,N4,tsuu (ON); tsu (ON); too.ru (KUN); too.ri (KUN); -too.ri (KUN); -doo.ri (KUN); too.su (KUN); too.shi (KUN); -doo.shi (KUN); kayo.u (KUN)
踊,1512,jump,wooden leg; mouth; stop; footprint; pogo stick; chop-seal; hanko; utilise; utilize,ヨウ,おど.る,14,N2,you (ON); odo.ru (KUN)
疑,1513,doubt,spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギ,うたが.う,14,N3,gi (ON); utaga.u (KUN)
擬,1514,mimic,finger; fingers; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギ,まが.い; もど.き,17,N1,gi (ON); maga.i (KUN); modo.ki (KUN)
凝,1515,congeal,ice; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギョウ,こ.る; こ.らす; こご.らす; こご.らせる; こご.る,16,N1,gyou (ON); ko.ru (KUN); ko.rasu (KUN); kogo.rasu (KUN); kogo.raseru (KUN); kogo.ru (KUN)
範,1516,pattern,bamboo; car; fingerprint,ハン,,15,N1,han (ON)
犯,1517,crime,pack of wild dogs; fingerprint,ハン; ボン,おか.す,5,N3,han (ON); bon (ON); oka.su (KUN)
氾,1518,widespread,water; water droplets; water pistol; fingerprint,ハン,ひろ.がる,5,,han (ON); hiro.garu (KUN)
厄,1519,unlucky,cliff; fingerprint,ヤク,,4,N1,yaku (ON)
危,1520,dangerous,bound up; unlucky; cliff; fingerprint,キ,あぶ.ない; あや.うい; あや.ぶむ,6,N3,ki (ON); abu.nai (KUN); aya.ui (KUN); aya.bumu (KUN)
宛,1521,address,house; mailbox; evening; fingerprint,エン,あ.てる; -あて; -づつ; あたか.も,8,,en (ON); a.teru (KUN); -ate (KUN); -zutsu (KUN); ataka.mo (KUN)
腕,1522,arm,moon; month; flesh; part of the body; address; house; mailbox; evening; fingerprint,ワン,うで,12,N2,wan (ON); ude (KUN)
苑,1523,garden,flowers; mailbox; evening; fingerprint,エン; オン,その; う.つ,8,N1,en (ON); on (ON); sono (KUN); u.tsu (KUN)
怨,1524,grudge,mailbox; evening; fingerprint; heart,エン; オン; ウン,うら.む; うらみ; うら.めしい,9,,en (ON); on (ON); un (ON); ura.mu (KUN); urami (KUN); ura.meshii (KUN)
柳,1525,willow,tree; wood; blown eggs; sign of the hare; receipt; stamp,リュウ,やなぎ,9,N1,ryuu (ON); yanagi (KUN)
卵,1526,egg,sign of the hare; receipt; stamp; drops,ラン,たまご,7,N2,ran (ON); tamago (KUN)
留,1527,detain,receipt; sword; dagger; rice field; brains,リュウ; ル,と.める; と.まる; とど.める; とど.まる; るうぶる,10,N3,ryuu (ON); ru (ON); to.meru (KUN); to.maru (KUN); todo.meru (KUN); todo.maru (KUN); ruuburu (KUN)
瑠,1528,marine blue,king; jewel; ball; detain; receipt; dagger; sword; rice field; brains,ル; リュウ,,14,N1,ru (ON); ryuu (ON)
貿,1529,trade,receipt; sword; dagger; shellfish; clam; oyster; eye; animal legs; eight,ボウ,,12,N2,bou (ON)
印,1530,stamp,staples,イン,しるし; -じるし; しる.す,6,N2,in (ON); shirushi (KUN); -jirushi (KUN); shiru.su (KUN)
臼,1531,mortar,back to back staples,キュウ; グ,うす; うすづ.く,6,,kyuu (ON); gu (ON); usu (KUN); usuzu.ku (KUN)
毀,1532,break,mortar; soil; dirt; ground; cruise missile; missile; wind; crotch,キ,こぼ.つ; こわ.す; こぼ.れる; こわ.れる; そし.る; やぶ.る,13,,ki (ON); kobo.tsu (KUN); kowa.su (KUN); kobo.reru (KUN); kowa.reru (KUN); soshi.ru (KUN); yabu.ru (KUN)
興,1533,entertain,staples; same; monks; hood; one; mouth; tool; animal legs; eight,コウ; キョウ,おこ.る; おこ.す,16,N1,kou (ON); kyou (ON); oko.ru (KUN); oko.su (KUN)
酉,1534,sign of the bird,whiskey bottle; west; one,ユウ,とり,7,N1,yuu (ON); tori (KUN)
酒,1535,sake,water; water droplets; water pistol; whiskey bottle,シュ,さけ; さか-,10,N3,shu (ON); sake (KUN); saka- (KUN)
酌,1536,bartending,whiskey bottle; ladle,シャク,く.む,10,N1,shaku (ON); ku.mu (KUN)
酎,1537,hooch,whiskey bottle; glue,チュウ; チュ,かも.す,10,,chuu (ON); chu (ON); kamo.su (KUN)
酵,1538,fermentation,whiskey bottle; filial piety; old man; child,コウ,,14,N1,kou (ON)
酷,1539,cruel,whiskey bottle; revelation; cow; mouth,コク,ひど.い,14,N1,koku (ON); hido.i (KUN)
酬,1540,repay,whiskey bottle; state; stream; drop,シュウ; シュ; トウ,むく.いる,13,N1,shuu (ON); shu (ON); tou (ON); muku.iru (KUN)
酪,1541,dairy products,whiskey bottle; each; walking legs; mouth,ラク,,13,N1,raku (ON)
酢,1542,vinegar,whiskey bottle; saw,サク,す,12,N1,saku (ON); su (KUN)
酔,1543,drunk,whiskey bottle; ninety; nine; baseball; ten; needle,スイ,よ.う; よ.い; よ,11,N1,sui (ON); yo.u (KUN); yo.i (KUN); yo (KUN)
配,1544,distribute,whiskey bottle; snake; self,ハイ,くば.る,10,N3,hai (ON); kuba.ru (KUN)
酸,1545,acid,whiskey bottle; streetwalker; Ministry of silly walks; John Cleese; license; elbow; human legs; walking legs,サン,す.い,14,N1,san (ON); su.i (KUN)
猶,1546,waver,furthermore; pack of wild dogs; chieftain; Molotov cocktail; animal horns; whiskey bottle,ユウ; ユ,なお,12,N1,yuu (ON); yu (ON); nao (KUN)
尊,1547,revered,chieftain; Molotov cocktail; animal horns; whiskey bottle; glue,ソン,たっと.い; とうと.い; たっと.ぶ; とうと.ぶ,12,N2,son (ON); tato.i (KUN); touto.i (KUN); tato.bu (KUN); touto.bu (KUN)
豆,1548,beans,table; one; mouth,トウ; ズ,まめ; まめ-,7,N1,tou (ON); zu (ON); mame (KUN); mame- (KUN)
頭,1549,head,beans; table; one; mouth; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,トウ; ズ; ト,あたま; かしら; -がしら; かぶり,16,N3,tou (ON); zu (ON); to (ON); atama (KUN); kashira (KUN); -gashira (KUN); kaburi (KUN)
短,1550,short,dart; drop; heavens; beans; table; one; mouth,タン,みじか.い,12,N2,tan (ON); mijika.i (KUN)
豊,1551,bountiful,bend; beans; table; one; mouth,ホウ; ブ,ゆた.か; とよ,13,N2,hou (ON); bu (ON); yuta.ka (KUN); toyo (KUN)
鼓,1552,drum,samurai; beans; table; one; mouth; branch; ten; needle; crotch,コ,つづみ,13,N1,ko (ON); tsuzumi (KUN)
喜,1553,rejoice,drum; samurai; beans; table; one; mouth; mouth,キ,よろこ.ぶ; よろこ.ばす,12,N3,ki (ON); yoroko.bu (KUN); yoroko.basu (KUN)
樹,1554,timber-trees,tree; wood; drum; samurai; beans; table; one; mouth; glue,ジュ,き,16,N1,ju (ON); ki (KUN)
皿,1555,dish,,ベイ,さら,5,N2,bei (ON); sara (KUN)
血,1556,blood,drop; dish,ケツ,ち,6,N2,ketsu (ON); chi (KUN)
盆,1557,basin,part; eight; sword; dagger; dish,ボン,,9,N1,bon (ON)
盟,1558,alliance,bright; sun; day; moon; month; flesh; part of the body; dish,メイ,,13,N1,mei (ON)
盗,1559,steal,next; ice; lack; yawn; dish,トウ,ぬす.む; ぬす.み,11,N3,tou (ON); nusu.mu (KUN); nusu.mi (KUN)
温,1560,warm,water; water droplets; water pistol; sun; day; dish,オン,あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく,12,N2,on (ON); atata.ka (KUN); atata.kai (KUN); atata.maru (KUN); atata.meru (KUN); nuku (KUN)
蓋,1561,lid,flowers; gone; soil; dirt; ground; elbow; dish,ガイ; カイ; コウ,ふた; けだ.し; おお.う; かさ; かこう,13,,gai (ON); kai (ON); kou (ON); futa (KUN); keda.shi (KUN); oo.u (KUN); kasa (KUN); kakou (KUN)
監,1562,oversee,retainer; slave; reclining; lying down; one; floor; dish,カン,,15,N1,kan (ON)
濫,1563,overflow,water; water droplets; water pistol; oversee; retainer; slave; reclining; lying down; one; floor; dish,ラン,みだ.りに; みだ.りがましい,18,N1,ran (ON); mida.rini (KUN); mida.rigamashii (KUN)
鑑,1564,specimen,metal; gold; oversee; retainer; slave; reclining; lying down; one; floor; dish,カン,かんが.みる; かがみ,23,N1,kan (ON); kanga.miru (KUN); kagami (KUN)
藍,1565,indigo,flowers; oversee; retainer; slave; reclining; lying down; one; floor; dish,ラン,あい,18,N1,ran (ON); ai (KUN)
猛,1566,fierce,pack of wild dogs; child; dish,モウ,,11,N1,mou (ON)
盛,1567,boom,turn into; dish,セイ; ジョウ,も.る; さか.る; さか.ん,11,N1,sei (ON); jou (ON); mo.ru (KUN); saka.ru (KUN); saka.n (KUN)
塩,1568,salt,soil; dirt; ground; reclining; lying down; mouth; dish,エン,しお,13,N2,en (ON); shio (KUN)
銀,1569,silver,metal; gold,ギン,しろがね,14,N4,gin (ON); shirogane (KUN)
恨,1570,resentment,regret; Freud; state of mind; silver,コン,うら.む; うら.めしい,9,N1,kon (ON); ura.mu (KUN); ura.meshii (KUN)
根,1571,root,tree; wood; silver,コン,ね; -ね,10,N2,kon (ON); ne (KUN); -ne (KUN)
即,1572,instant,silver; stamp,ソク,つ.く; つ.ける; すなわ.ち,7,N1,soku (ON); tsu.ku (KUN); tsu.keru (KUN); sunawa.chi (KUN)
爵,1573,baron,claw; vulture; net; eye; silver; glue,シャク,,17,N1,shaku (ON)
節,1574,node,bamboo; instant; silver; stamp,セツ; セチ,ふし; -ぶし; のっと,13,N1,setsu (ON); sechi (ON); fushi (KUN); -bushi (KUN); noto (KUN)
退,1575,retreat,road; silver,タイ,しりぞ.く; しりぞ.ける; ひ.く; の.く; の.ける; ど.く,9,N3,tai (ON); shirizo.ku (KUN); shirizo.keru (KUN); hi.ku (KUN); no.ku (KUN); no.keru (KUN); do.ku (KUN)
限,1576,limit,pinnacle; parthenon; acropolis; silver,ゲン,かぎ.る; かぎ.り; -かぎ.り,9,N3,gen (ON); kagi.ru (KUN); kagi.ri (KUN); -kagi.ri (KUN)
眼,1577,eyeball,eye; silver,ガン; ゲン,まなこ; め,11,N1,gan (ON); gen (ON); manako (KUN); me (KUN)
良,1578,good,drop; silver,リョウ,よ.い; -よ.い; い.い; -い.い,7,N3,ryou (ON); yo.i (KUN); -yo.i (KUN); i.i (KUN); -i.i (KUN)
朗,1579,melodious,halo; drop; silver; moon; month; flesh; part of the body,ロウ,ほが.らか; あき.らか,10,N1,rou (ON); hoga.raka (KUN); aki.raka (KUN)
浪,1580,wandering,water; water droplets; water pistol; halo; drop; silver,ロウ,,10,N1,rou (ON)
娘,1581,daughter,woman; halo; drop; silver,ジョウ,むすめ; こ,10,N3,jou (ON); musume (KUN); ko (KUN)
食,1582,eat,food; umbrella; good; halo; drop; silver,ショク; ジキ,く.う; く.らう; た.べる; は.む,9,N5,shoku (ON); jiki (ON); ku.u (KUN); ku.rau (KUN); ta.beru (KUN); ha.mu (KUN)
飯,1583,meal,eat; food; umbrella; good; halo; drop; silver; anti-; demonstration; cliff; crotch,ハン,めし,12,N4,han (ON); meshi (KUN)
飲,1584,drink,eat; food; umbrella; good; halo; drop; silver; lack; yawn,イン; オン,の.む; -の.み,12,N4,in (ON); on (ON); no.mu (KUN); -no.mi (KUN)
飢,1585,hungry,eat; food; umbrella; good; halo; drop; silver; wind,キ,う.える,10,N1,ki (ON); u.eru (KUN)
餓,1586,starve,eat; food; umbrella; good; halo; drop; silver; ego; hand; fiesta,ガ,う.える,15,N1,ga (ON); u.eru (KUN)
飾,1587,decorate,eat; food; umbrella; good; halo; drop; silver; reclining; lying down; towel,ショク,かざ.る; かざ.り,13,N1,shoku (ON); kaza.ru (KUN); kaza.ri (KUN)
餌,1588,feed,eat; food; umbrella; good; halo; drop; silver; ear,ジ; ニ,え; えば; えさ; もち,14,,ji (ON); ni (ON); e (KUN); eba (KUN); esa (KUN); mochi (KUN)
館,1589,Bldg.,eat; food; umbrella; good; halo; drop; silver; bureaucrat; house; maestro without baton,カン,やかた; たて,16,N4,kan (ON); yakata (KUN); tate (KUN)
餅,1590,mochi,eat; food; umbrella; good; halo; drop; silver; puzzle; horns; two hands,ヘイ; ヒョウ,もち; もちい,14,,hei (ON); hyou (ON); mochi (KUN); mochii (KUN)
養,1591,foster,sheep; eat; food; umbrella; good; halo; drop; silver,ヨウ; リョウ,やしな.う,15,N1,you (ON); ryou (ON); yashina.u (KUN)
飽,1592,sated,eat; food; umbrella; good; halo; drop; silver; wrap; bound up; snake; self,ホウ,あ.きる; あ.かす; あ.く,13,N1,hou (ON); a.kiru (KUN); a.kasu (KUN); a.ku (KUN)
既,1593,previously,silver; waitress,キ,すで.に,10,N1,ki (ON); sude.ni (KUN)
概,1594,outline,roots; tree; wood; silver; waitress; previously,ガイ,おうむ.ね,14,N1,gai (ON); oumu.ne (KUN)
慨,1595,rue,regret; resentment; Freud; state of mind; silver; waitress; previously,ガイ,,13,N1,gai (ON)
平,1596,even,water-lily; lily pad,ヘイ; ビョウ; ヒョウ,たい.ら; -だいら; ひら; ひら-,5,N3,hei (ON); byou (ON); hyou (ON); tai.ra (KUN); -daira (KUN); hira (KUN); hira- (KUN)
呼,1597,call,mouth; even; water-lily; lily pad; question mark,コ,よ.ぶ,8,N3,ko (ON); yo.bu (KUN)
坪,1598,two-mat area,soil; dirt; ground; even; water-lily; lily pad,ヘイ,つぼ,8,N1,hei (ON); tsubo (KUN)
評,1599,evaluate,say; words; keitai; mouth; even; water-lily; lily pad,ヒョウ,,12,N1,hyou (ON)
刈,1600,reap,sheaf; sword; sabre; saber,ガイ; カイ,か.る,4,N1,gai (ON); kai (ON); ka.ru (KUN)
刹,1601,moment,sheaf; tree; wood; sword; sabre; saber,セチ; セツ; サツ,,8,,sechi (ON); setsu (ON); satsu (ON)
希,1602,hope,sheaf; linen; by one’s side; towel,キ; ケ,まれ,7,N2,ki (ON); ke (ON); mare (KUN)
凶,1603,villain,sheaf; shovel,キョウ,,4,N1,kyou (ON)
胸,1604,bosom,moon; month; flesh; part of the body; bound up; villain; sheaf; shovel,キョウ,むね; むな-,10,N2,kyou (ON); mune (KUN); muna- (KUN)
離,1605,detach,sheik; top hat; villain; sheaf; shovel; belt; elbow; turkey,リ,はな.れる; はな.す,19,N1,ri (ON); hana.reru (KUN); hana.su (KUN)
璃,1606,crystal,king; jewel; ball; sheik; top hat; villain; sheaf; shovel; belt; elbow,リ,,15,N1,ri (ON)
殺,1607,kill,sheaf; tree; wood; cruise missile; missile; wind; crotch,サツ; サイ; セツ,ころ.す; -ごろ.し; そ.ぐ,10,N3,satsu (ON); sai (ON); setsu (ON); koro.su (KUN); -goro.shi (KUN); so.gu (KUN)
爽,1608,bracing,large; St. Bernard; sheaf,ソウ,あき.らか; さわ.やか; たがう,11,N1,sou (ON); aki.raka (KUN); sawa.yaka (KUN); tagau (KUN)
純,1609,genuine,thread; spiderman; earthworm; drop; shovel; fishhook,ジュン,,10,N2,jun (ON)
頓,1610,immediate,earthworm; drop; shovel; fishhook; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,トン; トツ,にわか.に; とん.と; つまず.く; とみ.に; ぬかずく,13,,ton (ON); totsu (ON); niwaka.ni (KUN); ton.to (KUN); tsumazu.ku (KUN); tomi.ni (KUN); nukazuku (KUN)
鈍,1611,dull,metal; gold; earthworm; drop; shovel; fishhook,ドン,にぶ.い; にぶ.る; にぶ-; なま.る; なまく.ら,12,N2,don (ON); nibu.i (KUN); nibu.ru (KUN); nibu- (KUN); nama.ru (KUN); namaku.ra (KUN)
辛,1612,spicy,stand up; vase; ten; needle,シン,から.い; つら.い; -づら.い; かのと,7,N2,shin (ON); kara.i (KUN); tsura.i (KUN); -zura.i (KUN); kanoto (KUN)
辞,1613,resign,tongue; thousand; mouth; spicy; stand up; vase; ten; needle,ジ,や.める; いな.む,13,N3,ji (ON); ya.meru (KUN); ina.mu (KUN)
梓,1614,catalpa,tree; wood; spicy; stand up; vase; ten; needle,シ,あずさ,11,N1,shi (ON); azusa (KUN)
宰,1615,superintend,house; spicy; stand up; vase; ten; needle,サイ,,10,N1,sai (ON)
壁,1616,wall,ketchup; flag; mouth; spicy; stand up; vase; ten; needle; soil; dirt; ground,ヘキ,かべ,16,N1,heki (ON); kabe (KUN)
璧,1617,holed gem,,ヘキ,たま,18,,heki (ON); tama (KUN)
避,1618,evade,ketchup; flag; mouth; spicy; stand up; vase; ten; needle; road,ヒ,さ.ける; よ.ける,16,N1,hi (ON); sa.keru (KUN); yo.keru (KUN)
新,1619,new,red pepper; stand up; vase; tree; wood; axe,シン,あたら.しい; あら.た; あら-; にい-,13,N4,shin (ON); atara.shii (KUN); ara.ta (KUN); ara- (KUN); nii- (KUN)
薪,1620,firewood,fuel; flowers; new; red pepper; stand up; vase; tree; wood; axe,シン,たきぎ; まき,16,N1,shin (ON); takigi (KUN); maki (KUN)
親,1621,parent,red pepper; stand up; vase; tree; wood; see; telescope; eye; human legs,シン,おや; おや-; した.しい; した.しむ,16,N4,shin (ON); oya (KUN); oya- (KUN); shita.shii (KUN); shita.shimu (KUN)
幸,1622,happiness,ten; needle; stand up; vase; ten; needle,コウ,さいわ.い; さち; しあわ.せ,8,N3,kou (ON); saiwa.i (KUN); sachi (KUN); shiawa.se (KUN)
執,1623,tenacious,happiness; ten; needle; stand up; vase; fat man; musashimaru; nine; baseball; drop,シツ; シュウ,と.る,11,N1,shitsu (ON); shuu (ON); to.ru (KUN)
摯,1624,clasp,,シ,いた.る,15,,shi (ON); ita.ru (KUN)
報,1625,report,happiness; ten; needle; stand up; vase; underpants; stamp; crotch,ホウ,むく.いる,12,N3,hou (ON); muku.iru (KUN)
叫,1626,shout,mouth; cornucopia,キョウ,さけ.ぶ,6,N2,kyou (ON); sake.bu (KUN)
糾,1627,twist,thread; spiderman; cornucopia,キュウ,ただ.す,9,N1,kyuu (ON); tada.su (KUN)
収,1628,income,cornucopia; crotch,シュウ,おさ.める; おさ.まる,4,N3,shuu (ON); osa.meru (KUN); osa.maru (KUN)
卑,1629,lowly,Wayne Slob; drop; rice field; brains; cornucopia; ten; needle,ヒ,いや.しい; いや.しむ; いや.しめる,9,N1,hi (ON); iya.shii (KUN); iya.shimu (KUN); iya.shimeru (KUN)
碑,1630,tombstone,stone; rock; lowly; Wayne Slob; drop; rice field; brains; cornucopia; ten; needle,ヒ,いしぶみ,14,N1,hi (ON); ishibumi (KUN)
陸,1631,land,pinnacle; parthenon; acropolis; mini-tractor; rice seedlings; soil; dirt; ground; human legs,リク; ロク,おか,11,N2,riku (ON); roku (ON); oka (KUN)
睦,1632,intimate,eye; mini-tractor; rice seedlings; soil; dirt; ground; human legs,ボク; モク,むつ.まじい; むつ.む; むつ.ぶ,13,N1,boku (ON); moku (ON); mutsu.majii (KUN); mutsu.mu (KUN); mutsu.bu (KUN)
勢,1633,forces,mini-tractor; rice seedlings; soil; dirt; ground; human legs; fat man; musashimaru; round; nine; baseball; drop; power; muscle; arnold,セイ; ゼイ,いきお.い; はずみ,13,N2,sei (ON); zei (ON); ikio.i (KUN); hazumi (KUN)
熱,1634,heat,mini-tractor; rice seedlings; soil; dirt; ground; human legs; fat man; musashimaru; round; nine; baseball; drop; oven-fire; barbecue,ネツ,あつ.い,15,N3,netsu (ON); atsu.i (KUN)
菱,1635,diamond,flowers; Mao; soil; dirt; ground; human legs; walking legs,リョウ,ひし,11,,ryou (ON); hishi (KUN)
陵,1636,mausoleum,pinnacle; parthenon; acropolis; Mao; soil; dirt; ground; human legs; walking legs,リョウ,みささぎ,11,N1,ryou (ON); misasagi (KUN)
亥,1637,sign of the hog,acorn; top hat,ガイ; カイ,い,6,N1,gai (ON); kai (ON); i (KUN)
核,1638,nucleus,tree; wood; sign of the hog; acorn; top hat,カク,,10,N1,kaku (ON)
刻,1639,engrave,sign of the hog; acorn; top hat; sword; sabre; saber,コク,きざ.む; きざ.み,8,N3,koku (ON); kiza.mu (KUN); kiza.mi (KUN)
該,1640,above-stated,say; words; keitai; mouth; sign of the hog; acorn; top hat,ガイ,,13,N1,gai (ON)
骸,1641,remains,skeleton; joint; moon; month; flesh; part of the body; sign of the hog; acorn; top hat,ガイ; カイ,むくろ,16,,gai (ON); kai (ON); mukuro (KUN)
劾,1642,censure,sign of the hog; acorn; top hat; power; muscle; arnold,ガイ,,8,N1,gai (ON)
述,1643,mention,resin; pole; road,ジュツ,の.べる,8,N2,jutsu (ON); no.beru (KUN)
術,1644,art,boulevard; going; resin; pole,ジュツ,すべ,11,N3,jutsu (ON); sube (KUN)
寒,1645,cold,Baba Yaga’s hut; house; celery; animal legs; ice,カン,さむ.い,12,N3,kan (ON); samu.i (KUN)
塞,1646,block up,Baba Yaga’s hut; house; celery; animal legs; soil; dirt; ground,ソク; サイ,ふさ.ぐ; とりで; み.ちる,13,,soku (ON); sai (ON); fusa.gu (KUN); toride (KUN); mi.chiru (KUN)
醸,1647,brew,whiskey bottle; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,かも.す,20,N1,jou (ON); kamo.su (KUN)
譲,1648,defer,say; words; keitai; mouth; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,ゆず.る,20,N1,jou (ON); yuzu.ru (KUN)
壌,1649,lot,soil; dirt; ground; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,つち,16,N1,jou (ON); tsuchi (KUN)
嬢,1650,lass,woman; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,むすめ,16,N1,jou (ON); musume (KUN)
毒,1651,poison,grow up; mother; breasts,ドク,,8,N2,doku (ON)
素,1652,elementary,grow up; thread; spiderman,ソ; ス,もと,10,N1,so (ON); su (ON); moto (KUN)
麦,1653,barley,grow up; walking legs,バク,むぎ,7,N2,baku (ON); mugi (KUN)
青,1654,blue,grow up; moon; flesh,セイ; ショウ,あお; あお-; あお.い,8,N4,sei (ON); shou (ON); ao (KUN); ao- (KUN); ao.i (KUN)
精,1655,refined,rice; blue; grow up; moon; flesh,セイ; ショウ; シヤウ,,14,N3,sei (ON); shou (ON); shiyau (ON)
請,1656,solicit,say; words; keitai; mouth; blue; grow up; moon; flesh,セイ; シン; ショウ,こ.う; う.ける,15,N1,sei (ON); shin (ON); shou (ON); ko.u (KUN); u.keru (KUN)
情,1657,feelings,Freud; state of mind; blue; grow up; moon; flesh,ジョウ; セイ,なさ.け,11,N3,jou (ON); sei (ON); nasa.ke (KUN)
晴,1658,clear up,sun; day; blue; grow up; moon; flesh,セイ,は.れる; は.れ; は.れ-; -ば.れ; は.らす,12,N3,sei (ON); ha.reru (KUN); ha.re (KUN); ha.re- (KUN); -ba.re (KUN); ha.rasu (KUN)
清,1659,pure,water; water droplets; water pistol; blue; grow up; moon; flesh,セイ; ショウ; シン,きよ.い; きよ.まる; きよ.める,11,N2,sei (ON); shou (ON); shin (ON); kiyo.i (KUN); kiyo.maru (KUN); kiyo.meru (KUN)
静,1660,quiet,blue; grow up; moon; flesh; contend; bound up; rake,セイ; ジョウ,しず-; しず.か; しず.まる; しず.める,14,N3,sei (ON); jou (ON); shizu- (KUN); shizu.ka (KUN); shizu.maru (KUN); shizu.meru (KUN)
責,1661,blame,grow up; shellfish; clam; oyster; eye; animal legs; eight,セキ,せ.める,11,N3,seki (ON); se.meru (KUN)
績,1662,exploits,thread; spiderman; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,セキ,,17,N2,seki (ON)
積,1663,volume,wheat; cereal; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,セキ,つ.む; -づ.み; つ.もる; つ.もり,16,N3,seki (ON); tsu.mu (KUN); -zu.mi (KUN); tsu.moru (KUN); tsu.mori (KUN)
債,1664,bond,person; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,サイ,,13,N1,sai (ON)
漬,1665,pickling,water; water droplets; water pistol; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,シ,つ.ける; つ.かる; -づ.け; -づけ,14,N1,shi (ON); tsu.keru (KUN); tsu.karu (KUN); -zu.ke (KUN); -zuke (KUN)
表,1666,surface,grow up; scarf,ヒョウ,おもて; -おもて; あらわ.す; あらわ.れる; あら.わす,8,N3,hyou (ON); omote (KUN); -omote (KUN); arawa.su (KUN); arawa.reru (KUN); ara.wasu (KUN)
俵,1667,bag,person; surface; grow up; scarf,ヒョウ,たわら,10,N1,hyou (ON); tawara (KUN)
潔,1668,undefiled,water; water droplets; water pistol; flick knife; grow up; sword; dagger; thread; spiderman,ケツ,いさぎよ.い,15,N1,ketsu (ON); isagiyo.i (KUN)
契,1669,pledge,flick knife; grow up; dagger; large; St. Bernard,ケイ,ちぎ.る,9,N1,kei (ON); chigi.ru (KUN)
喫,1670,consume,mouth; pledge; flick knife; grow up; dagger; large; St. Bernard,キツ,,12,N2,kitsu (ON)
害,1671,harm,mansion; house; grow up; mouth,ガイ,,10,N3,gai (ON)
轄,1672,control,car; harm; mansion; house; grow up; mouth,カツ,くさび,17,N1,katsu (ON); kusabi (KUN)
割,1673,proportion,harm; mansion; house; grow up; mouth; sword; sabre; saber,カツ,わ.る; わり; わ.り; わ.れる; さ.く,12,N3,katsu (ON); wa.ru (KUN); wari (KUN); wa.ri (KUN); wa.reru (KUN); sa.ku (KUN)
憲,1674,constitution,mansion; house; grow up; eye; cross-eyed; net; heart,ケン,,16,N1,ken (ON)
生,1675,life,This is Your Life; cell; drop; grow up,セイ; ショウ,い.きる; い.かす; い.ける; う.まれる; う.まれ; うまれ; う.む; お.う; は.える; は.やす; き; なま; なま-; な.る; な.す; む.す; -う,5,N5,sei (ON); shou (ON); i.kiru (KUN); i.kasu (KUN); i.keru (KUN); u.mareru (KUN); u.mare (KUN); umare (KUN); u.mu (KUN); o.u (KUN); ha.eru (KUN); ha.yasu (KUN); ki (KUN); nama (KUN); nama- (KUN); na.ru (KUN); na.su (KUN); mu.su (KUN); -u (KUN)
星,1676,star,sun; day; life; This is Your Life; cell; drop; grow up,セイ; ショウ,ほし; -ぼし,9,N2,sei (ON); shou (ON); hoshi (KUN); -boshi (KUN)
醒,1677,awakening,whiskey bottle; star; sun; day; life; This is Your Life; cell; drop; grow up,セイ,さ.ます; さ.める,16,,sei (ON); sa.masu (KUN); sa.meru (KUN)
姓,1678,surname,woman; life; This is Your Life; cell; drop; grow up,セイ; ショウ,,8,N2,sei (ON); shou (ON)
性,1679,sex,Freud; state of mind; life; This is Your Life; cell; drop; grow up,セイ; ショウ,さが,8,N3,sei (ON); shou (ON); saga (KUN)
牲,1680,animal sacrifice,cow; life; This is Your Life; cell; drop; grow up,セイ,,9,N1,sei (ON)
産,1681,products,vase; stand up; cliff; life; This is Your Life; cell; drop; grow up,サン,う.む; う.まれる; うぶ-; む.す,11,N3,san (ON); u.mu (KUN); u.mareru (KUN); ubu- (KUN); mu.su (KUN)
隆,1682,hump,pinnacle; parthenon; acropolis; walking legs; life; This is Your Life; cell; drop; grow up,リュウ,,11,N1,ryuu (ON)
峰,1683,summit,mountain; Segway; Macbeth; walking legs; bushes,ホウ,みね; ね,10,N1,hou (ON); mine (KUN); ne (KUN)
蜂,1684,bee,insect; Segway; Macbeth; walking legs; bushes,ホウ,はち,13,,hou (ON); hachi (KUN)
縫,1685,sew,thread; spiderman; tryst; Segway; Macbeth; walking legs; bushes; road,ホウ,ぬ.う,16,N1,hou (ON); nu.u (KUN)
