kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
憩,658,recess,tongue; thousand; mouth; nose; drop; eye; heart,ケイ,いこ.い; いこ.う,16,N1,kei (ON); iko.i (KUN); iko.u (KUN)
恵,659,favor,ten; needle; rice field; brains; heart,ケイ; エ,めぐ.む; めぐ.み,10,N1,kei (ON); e (ON); megu.mu (KUN); megu.mi (KUN)
恐,660,fear,barge; craft; mediocre; drop; wind; heart,キョウ,おそ.れる; おそ.る; おそ.ろしい; こわ.い; こわ.がる,10,N3,kyou (ON); oso.reru (KUN); oso.ru (KUN); oso.roshii (KUN); kowa.i (KUN); kowa.garu (KUN)
惑,661,beguile,a; pope; fiesta; mouth; one; floor; heart,ワク,まど.う,12,N1,waku (ON); mado.u (KUN)
感,662,emotion,march; mouth; heart,カン,,13,N3,kan (ON)
憂,663,melancholy,summer; head; page; crown; heart; walking legs,ユウ,うれ.える; うれ.い; う.い; う.き,15,N1,yuu (ON); ure.eru (KUN); ure.i (KUN); u.i (KUN); u.ki (KUN)
寡,664,widow,house; head; page; animal legs; eight; sword; dagger,カ,,14,N1,ka (ON)
忙,665,busy,Freud; state of mind; deceased; perish; top hat; fishhook,ボウ; モウ,いそが.しい; せわ.しい; おそ.れる; うれえるさま,6,N3,bou (ON); mou (ON); isoga.shii (KUN); sewa.shii (KUN); oso.reru (KUN); ureerusama (KUN)
悦,666,ecstasy,Freud; state of mind; devil; horns; elder brother; teenager; mouth; human legs,エツ,よろこ.ぶ; よろこ.ばす,10,N1,etsu (ON); yoroko.bu (KUN); yoroko.basu (KUN)
恒,667,constancy,Freud; state of mind; span; one; ceiling; sun; day; one; floor; one,コウ,つね; つねに,9,N1,kou (ON); tsune (KUN); tsuneni (KUN)
悼,668,lament,Freud; state of mind; eminent; magic wand; augury; sun; day; ten; needle,トウ,いた.む,11,N1,tou (ON); ita.mu (KUN)
悟,669,enlightenment,Freud; state of mind; I; five; mouth,ゴ,さと.る,10,N1,go (ON); sato.ru (KUN)
怖,670,dreadful,Freud; state of mind; linen; by one’s side; towel,フ; ホ,こわ.い; こわ.がる; お.じる; おそ.れる,8,N3,fu (ON); ho (ON); kowa.i (KUN); kowa.garu (KUN); o.jiru (KUN); oso.reru (KUN)
慌,671,disconcerted,Freud; state of mind; laid waste; wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あわ.てる; あわ.ただしい,12,,kou (ON); awa.teru (KUN); awa.tadashii (KUN)
悔,672,repent,Freud; state of mind; every; reclining; lying down; mother; breasts,カイ,く.いる; く.やむ; くや.しい,9,N1,kai (ON); ku.iru (KUN); ku.yamu (KUN); kuya.shii (KUN)
憎,673,hate,Freud; state of mind; increase; formerly; horns; rice field; brains; sun; day,ゾウ,にく.む; にく.い; にく.らしい; にく.しみ,14,N2,zou (ON); niku.mu (KUN); niku.i (KUN); niku.rashii (KUN); niku.shimi (KUN)
慣,674,accustomed,Freud; state of mind; pierce; mother; breasts; shellfish; clam; oyster; eye; animal legs; eight,カン,な.れる; な.らす,14,N3,kan (ON); na.reru (KUN); na.rasu (KUN)
愉,675,pleasure,Freud; state of mind; meeting; umbrella; butchers; moon; month; flesh; part of the body; sword; sabre; saber,ユ,たの.しい; たの.しむ,12,N1,yu (ON); tano.shii (KUN); tano.shimu (KUN)
惰,676,lazy,Freud; state of mind; left-handed; left; by one’s side; craft; moon; month; flesh; part of the body,ダ,,12,N1,da (ON)
慎,677,humility,Freud; state of mind; true; truth; ten; needle; eye; tool; animal legs; eight,シン,つつし.む; つつし; つつし.み,13,N1,shin (ON); tsutsushi.mu (KUN); tsutsushi (KUN); tsutsushi.mi (KUN)
